"","Method","Noise","Choice","Measure","Mean","S.d."
"110","GFA","3","Overall","BiS",0.199275559553903,0.0781889965541007
"111","GFA","4","Overall","CSR",0.904,0.0196946385566932
"112","GFA","4","Overall","Rel",0.276954690501198,0.0542729437619088
"113","GFA","4","Overall","Rec",0.21378176527345,0.0446896846454266
"114","GFA","4","Overall","F_score",0.240852390488651,0.0475087121975842
"115","GFA","4","Overall","BiS",0.200890172834158,0.0618610139351609
"116","GFA","5","Overall","CSR",0.903,0.0171446607997765
"117","GFA","5","Overall","Rel",0.272765942280987,0.0606022969869806
"118","GFA","5","Overall","Rec",0.205592339178765,0.0465187094520789
"119","GFA","5","Overall","F_score",0.234003304043744,0.0515628370715738
"120","GFA","5","Overall","BiS",0.167190280991687,0.0624201369665197
"121","GFA","6","Overall","CSR",0.905,0.021904291355759
"122","GFA","6","Overall","Rel",0.260634381060983,0.054909380721845
"123","GFA","6","Overall","Rec",0.200482312073251,0.0440647698306029
"124","GFA","6","Overall","F_score",0.226071149917244,0.0471940933763594
"125","GFA","6","Overall","BiS",0.153859321183374,0.0594321124197761
"126","GFA","7","Overall","CSR",0.926294871794872,0.0443979102363379
"127","GFA","7","Overall","Rel",0.244362378528033,0.0497687238589114
"128","GFA","7","Overall","Rec",0.20292138118106,0.0500421149816263
"129","GFA","7","Overall","F_score",0.220518819931231,0.0457245629164928
"130","GFA","7","Overall","BiS",0.136521213436944,0.0545649953998013
"131","GFA","8","Overall","CSR",0.916513125763126,0.059792471690877
"132","GFA","8","Overall","Rel",0.202333233718251,0.0580031097242235
"133","GFA","8","Overall","Rec",0.196989398084328,0.0375093667493344
"134","GFA","8","Overall","F_score",0.197665456277194,0.0435156457257979
"135","GFA","8","Overall","BiS",0.0810171806137318,0.0465293115250213
"136","GFA","9","Overall","CSR",0.780774203372307,0.0904254922880049
"137","GFA","9","Overall","Rel",0.14980705030169,0.0328988038805837
"138","GFA","9","Overall","Rec",0.197445979267279,0.0334011475349469
"139","GFA","9","Overall","F_score",0.169168058078754,0.0298873948187127
"140","GFA","9","Overall","BiS",0.0313303939313086,0.0313608911718489
"141","GFA","10","Overall","CSR",0.633200270897833,0.0581027736210067
"142","GFA","10","Overall","Rel",0.114915666289176,0.0185972814146945
"143","GFA","10","Overall","Rec",0.190568071961121,0.0360594370360326
"144","GFA","10","Overall","F_score",0.142844143327228,0.0231659528254685
"145","GFA","10","Overall","BiS",0.00836275233570828,0.0202463368579731
"146","GFA","20","Overall","CSR",0.354858422939068,0.000197132616487466
"147","GFA","20","Overall","Rel",0.0971475343240035,0.0120261240277286
"148","GFA","20","Overall","Rec",0.184610227923114,0.0578867162249865
"149","GFA","20","Overall","F_score",0.126690591592238,0.0217816185312212
"150","GFA","20","Overall","BiS",-0.00686686336768203,0.00335402651409811
"151","GFA","30","Overall","CSR",0.268303861788618,0.000111788617886183
"152","GFA","30","Overall","Rel",0.0874395363233529,0.00758196439483073
"153","GFA","30","Overall","Rec",0.15891189552799,0.0516895970436045
"154","GFA","30","Overall","F_score",0.111651493151666,0.0176455066581127
"155","GFA","30","Overall","BiS",-0.00993889236103336,0.00180503831608554
"156","GFA","40","Overall","CSR",0.215686274509804,0
"157","GFA","40","Overall","Rel",0.0842102808794849,0.00515224279891244
"158","GFA","40","Overall","Rec",0.155689586098959,0.0421020693170588
"159","GFA","40","Overall","F_score",0.10829451390296,0.0138456498315921
"160","GFA","40","Overall","BiS",-0.0114533012502091,0.00117497115725223
"161","GFA","50","Overall","CSR",0.180332877959927,5.00910746812328e-05
"162","GFA","50","Overall","Rel",0.0810331468220841,0.00385898082680457
"163","GFA","50","Overall","Rec",0.14053245828288,0.0377704528030218
"164","GFA","50","Overall","F_score",0.101769584814351,0.0121657677999451
"165","GFA","50","Overall","BiS",-0.0126862473514495,0.00100927572018976
"166","GFA","60","Overall","CSR",0.154940643863179,6.32432155591893e-05
"167","GFA","60","Overall","Rel",0.0795728440416196,0.00301384082362678
"168","GFA","60","Overall","Rec",0.138105270823872,0.031306441204967
"169","GFA","60","Overall","F_score",0.10006343820155,0.0107427975286567
"170","GFA","60","Overall","BiS",-0.0133401125286464,0.000998202665387505
"171","GFA","70","Overall","CSR",0.135839248971194,0.000240117630929451
"172","GFA","70","Overall","Rel",0.0782465198205079,0.0024274309236531
"173","GFA","70","Overall","Rec",0.131735612357874,0.0321791132259316
"174","GFA","70","Overall","F_score",0.0971569832966225,0.0102237937646042
"175","GFA","70","Overall","BiS",-0.0141617184848154,0.000959647452209253
"176","GFA","80","Overall","CSR",0.121057180127405,0.000587479569146959
"177","GFA","80","Overall","Rel",0.0774844151915692,0.00211601589786033
