"","Method","Parameter","Choice","Measure","Mean","S.d."
"239","iSSVD","40","Overall","F_score",0.505448279556823,0.0191276287798274
"240","iSSVD","40","Overall","BiS",0.317264161930157,0.0453765937143035
"241","iSSVD","45","Overall","CSR",1,0
"242","iSSVD","45","Overall","Rel",0.512825445178009,0.0165877561757998
"243","iSSVD","45","Overall","Rec",0.50365789797113,0.0159223027558119
"244","iSSVD","45","Overall","F_score",0.508191073553275,0.0161717826679691
"245","iSSVD","45","Overall","BiS",0.323405977493532,0.0330107100127476
"246","iSSVD","50","Overall","CSR",1,0
"247","iSSVD","50","Overall","Rel",0.510783248514187,0.0168396955162713
"248","iSSVD","50","Overall","Rec",0.502781853985388,0.0162324654031448
"249","iSSVD","50","Overall","F_score",0.506735183230761,0.0164203374893304
"250","iSSVD","50","Overall","BiS",0.327863511594048,0.0358383652131226
"251","iSSVD","55","Overall","CSR",1,0
"252","iSSVD","55","Overall","Rel",0.511213433698808,0.0136536807547342
"253","iSSVD","55","Overall","Rec",0.502389232508211,0.0132151027384605
"254","iSSVD","55","Overall","F_score",0.506748696978722,0.0132870633691931
"255","iSSVD","55","Overall","BiS",0.326756125327491,0.0322873232300459
"256","iSSVD","60","Overall","CSR",1,0
"257","iSSVD","60","Overall","Rel",0.513026440537135,0.0178710641784717
"258","iSSVD","60","Overall","Rec",0.50462201096007,0.0172214711954924
"259","iSSVD","60","Overall","F_score",0.508772899772338,0.0174526100809179
"260","iSSVD","60","Overall","BiS",0.333321038350047,0.0447230665923109
"261","iSSVD","65","Overall","CSR",1,0
"262","iSSVD","65","Overall","Rel",0.513551245473981,0.0182202212950311
"263","iSSVD","65","Overall","Rec",0.504575082305758,0.0171223126975231
"264","iSSVD","65","Overall","F_score",0.509007904949532,0.0175891620118833
"265","iSSVD","65","Overall","BiS",0.347744773960939,0.0572875445763395
"266","iSSVD","70","Overall","CSR",1,0
"267","iSSVD","70","Overall","Rel",0.516473437655574,0.0188250423678351
"268","iSSVD","70","Overall","Rec",0.507185019479085,0.0180129867162069
"269","iSSVD","70","Overall","F_score",0.511774880255818,0.0183350780536969
"270","iSSVD","70","Overall","BiS",0.347427835743494,0.0448082469620558
"271","iSSVD","75","Overall","CSR",0.98375,0.0422497086237039
"272","iSSVD","75","Overall","Rel",0.525058810238226,0.0308887323734781
"273","iSSVD","75","Overall","Rec",0.504509392506472,0.0155165651062923
"274","iSSVD","75","Overall","F_score",0.514123703719284,0.0177525488586832
"275","iSSVD","75","Overall","BiS",0.364215151415717,0.0633295029487882
"276","iSSVD","80","Overall","CSR",0.875,0
"277","iSSVD","80","Overall","Rel",0.592504429372362,0.0220843705862585
"278","iSSVD","80","Overall","Rec",0.491563576120346,0.018094822960352
"279","iSSVD","80","Overall","F_score",0.537321959300653,0.0198195420627273
"280","iSSVD","80","Overall","BiS",0.483827846544773,0.0585324151696744
"281","iSSVD","85","Overall","CSR",0.875,0
"282","iSSVD","85","Overall","Rel",0.595382521542198,0.0238531155505168
"283","iSSVD","85","Overall","Rec",0.494324635804883,0.0194827153704086
"284","iSSVD","85","Overall","F_score",0.540156341097378,0.0213883821080189
"285","iSSVD","85","Overall","BiS",0.49246902807961,0.0683217142622894
"286","iSSVD","90","Overall","CSR",0.875,0
"287","iSSVD","90","Overall","Rel",0.590884103052419,0.0216009499397947
"288","iSSVD","90","Overall","Rec",0.490072490076471,0.0176121924007605
"289","iSSVD","90","Overall","F_score",0.535763675324837,0.0193339621132249
"290","iSSVD","90","Overall","BiS",0.476617002688018,0.0595534591560174
"291","iSSVD","95","Overall","CSR",0.875,0
"292","iSSVD","95","Overall","Rel",0.592730537976338,0.0204907145617379
"293","iSSVD","95","Overall","Rec",0.492207260129831,0.0166441196646976
"294","iSSVD","95","Overall","F_score",0.537801008276695,0.0182995692432967
"295","iSSVD","95","Overall","BiS",0.489347513613665,0.0532950838995039
"296","iSSVD","100","Overall","CSR",0.875,0
"297","iSSVD","100","Overall","Rel",0.595951853986399,0.0209821674686761
"298","iSSVD","100","Overall","Rec",0.494573196595162,0.0168271084731536
"299","iSSVD","100","Overall","F_score",0.540537735796045,0.0185954438765641
"300","iSSVD","100","Overall","BiS",0.496010655773238,0.0585989485959026
"301","NMTF","5","Overall","CSR",0.965583333333333,0.0210437188551541
"302","NMTF","5","Overall","Rel",0.892418854186721,0.0266791146548335
"303","NMTF","5","Overall","Rec",0.856198587116099,0.046858203632265
"304","NMTF","5","Overall","F_score",0.872459657702889,0.0374975229492254
"305","NMTF","5","Overall","BiS",0.461339773114144,0.0168716637144636
"306","NMTF","10","Overall","CSR",0.999,0.00571488693325884
"307","NMTF","10","Overall","Rel",0.996170675032072,0.00451905198550443
"308","NMTF","10","Overall","Rec",0.996531594572302,0.00308741140795219
"309","NMTF","10","Overall","F_score",0.996340462111603,0.00345570346088974
"310","NMTF","10","Overall","BiS",0.762783229743566,0.00693130211397038
"311","NMTF","15","Overall","CSR",0.999333333333333,0.00469017647120966
"312","NMTF","15","Overall","Rel",0.999663793103448,0.00190875392005073
"313","NMTF","15","Overall","Rec",0.999757543103448,0.00124935232755066
"314","NMTF","15","Overall","F_score",0.99971028796809,0.0015780341749047
"315","NMTF","15","Overall","BiS",0.845211445761194,0.00188202780660023
"316","NMTF","20","Overall","CSR",0.999333333333333,0.00469017647120966
"317","NMTF","20","Overall","Rel",1,0
"318","NMTF","20","Overall","Rec",1,0
"319","NMTF","20","Overall","F_score",1,0
"320","NMTF","20","Overall","BiS",0.883634501896119,0.00104613446231705
"321","NMTF","25","Overall","CSR",0.997,0.00958744970882204
"322","NMTF","25","Overall","Rel",0.999771428571429,0.00136420284248383
"323","NMTF","25","Overall","Rec",1,0
"324","NMTF","25","Overall","F_score",0.999884274411558,0.000691169896249789
"325","NMTF","25","Overall","BiS",0.906653241544765,0.000736911193054615
"326","NMTF","30","Overall","CSR",0.997,0.0106941984754608
"327","NMTF","30","Overall","Rel",0.999704761904762,0.00151763419219153
"328","NMTF","30","Overall","Rec",1,0
"329","NMTF","30","Overall","F_score",0.99985058238336,0.000768698195642162
"330","NMTF","30","Overall","BiS",0.92227008957372,0.000611881224706571
"331","NMTF","35","Overall","CSR",0.994621212121212,0.0150784510147532
"332","NMTF","35","Overall","Rel",0.998469512211015,0.0056452270922399
"333","NMTF","35","Overall","Rec",1,0
"334","NMTF","35","Overall","F_score",0.999208125054928,0.00296049007628622
"335","NMTF","35","Overall","BiS",0.933361901865447,0.000630807492533823
"336","NMTF","40","Overall","CSR",0.996060606060606,0.0115611344871309
"337","NMTF","40","Overall","Rel",0.999452821869489,0.00301718393780349
"338","NMTF","40","Overall","Rec",1,0
"339","NMTF","40","Overall","F_score",0.999719198482539,0.00155836767460216
"340","NMTF","40","Overall","BiS",0.941555183066402,0.000516452065496156
"341","NMTF","45","Overall","CSR",0.995368298368298,0.014923110582554
"342","NMTF","45","Overall","Rel",0.998461752619361,0.00577701654624269
"343","NMTF","45","Overall","Rec",1,0
"344","NMTF","45","Overall","F_score",0.99920316243233,0.00301650383830457
"345","NMTF","45","Overall","BiS",0.948157015924391,0.000417301598018913
"346","NMTF","50","Overall","CSR",0.994666666666667,0.0131639067132484
"347","NMTF","50","Overall","Rel",0.999063492063492,0.00319390476710643
"348","NMTF","50","Overall","Rec",1,0
"349","NMTF","50","Overall","F_score",0.999524043014183,0.00162816582924395
"350","NMTF","50","Overall","BiS",0.953237122601481,0.000433693912040831
"351","NMTF","55","Overall","CSR",0.997060606060606,0.0103410863812333
"352","NMTF","55","Overall","Rel",0.999130271906743,0.00428426158464087
"353","NMTF","55","Overall","Rec",1,0
"354","NMTF","55","Overall","F_score",0.999550404609337,0.00222339395713194
"355","NMTF","55","Overall","BiS",0.957564179429482,0.000384309237088661
"356","NMTF","60","Overall","CSR",0.997333333333333,0.00908866414480969
"357","NMTF","60","Overall","Rel",0.999505952380952,0.00218672529252805
"358","NMTF","60","Overall","Rec",1,0
"359","NMTF","60","Overall","F_score",0.999749184103425,0.00111053473773934
"360","NMTF","60","Overall","BiS",0.961074136153249,0.000315492586671476
"361","NMTF","65","Overall","CSR",0.996666666666667,0.012079051255658
"362","NMTF","65","Overall","Rel",0.999554761904762,0.00209861740470669
"363","NMTF","65","Overall","Rec",1,0
"364","NMTF","65","Overall","F_score",0.999774462976317,0.00106426165809111
"365","NMTF","65","Overall","BiS",0.96403592561415,0.000281496768433104
