"","Method","overlap","Choice","Measure","Mean","S.d."
"118","iSSVD","0.25","Overall","Rec",0.0443853096281888,0.0598088977633879
"119","iSSVD","0.25","Overall","F_score",0.0545540611988388,0.0720762497400962
"120","iSSVD","0.25","Overall","BiS",0.00815132228249026,0.037110905213213
"121","iSSVD","0.3","Overall","CSR",0.210535714285715,0.102815499910859
"122","iSSVD","0.3","Overall","Rel",0.0395149987385301,0.0913303890194737
"123","iSSVD","0.3","Overall","Rec",0.0164190056780505,0.0380657512051508
"124","iSSVD","0.3","Overall","F_score",0.0230164907103531,0.0530223575332883
"125","iSSVD","0.3","Overall","BiS",0.00411759530120683,0.0102945927736913
"126","iSSVD","0.35","Overall","CSR",0.166666666666667,0
"127","iSSVD","0.35","Overall","Rel",0,0
"128","iSSVD","0.35","Overall","Rec",0,0
"129","iSSVD","0.35","Overall","F_score",0,0
"130","iSSVD","0.35","Overall","BiS",0,0
"131","iSSVD","0.4","Overall","CSR",0.166666666666667,0
"132","iSSVD","0.4","Overall","Rel",0,0
"133","iSSVD","0.4","Overall","Rec",0,0
"134","iSSVD","0.4","Overall","F_score",0,0
"135","iSSVD","0.4","Overall","BiS",0,0
"136","NMTF","0","Overall","CSR",0.906574074074074,0.0365478117268088
"137","NMTF","0","Overall","Rel",0.804400435643748,0.0332072301038147
"138","NMTF","0","Overall","Rec",0.701494671033306,0.0683941769142544
"139","NMTF","0","Overall","F_score",0.744026964927077,0.0522773993025987
"140","NMTF","0","Overall","BiS",0.405748352953805,0.0209555377895102
"141","NMTF","0.05","Overall","CSR",0.861759259259259,0.0329291021433586
"142","NMTF","0.05","Overall","Rel",0.672016858658981,0.0222228841150353
"143","NMTF","0.05","Overall","Rec",0.537159132535203,0.04701378654024
"144","NMTF","0.05","Overall","F_score",0.590448801363805,0.0353681954121087
"145","NMTF","0.05","Overall","BiS",0.351356077941207,0.0144104896584649
"146","NMTF","0.1","Overall","CSR",0.796055555555556,0.0319491191404897
"147","NMTF","0.1","Overall","Rel",0.635140696812611,0.0188617227535803
"148","NMTF","0.1","Overall","Rec",0.436521785275596,0.0517359952549784
"149","NMTF","0.1","Overall","F_score",0.514358178019994,0.0362954885787795
"150","NMTF","0.1","Overall","BiS",0.325095784059408,0.0108959058384629
"151","NMTF","0.15","Overall","CSR",0.780648148148148,0.012941232922473
"152","NMTF","0.15","Overall","Rel",0.617746728825166,0.0134548932358175
"153","NMTF","0.15","Overall","Rec",0.404398543930041,0.0248472649072352
"154","NMTF","0.15","Overall","F_score",0.487965039146696,0.0170742023810251
"155","NMTF","0.15","Overall","BiS",0.315462767927053,0.00780334092248515
"156","NMTF","0.2","Overall","CSR",0.777777777777778,0
"157","NMTF","0.2","Overall","Rel",0.56568231151123,0.0171622773178383
"158","NMTF","0.2","Overall","Rec",0.360734238893989,0.0102053233742812
"159","NMTF","0.2","Overall","F_score",0.440534618186327,0.0128055741064835
"160","NMTF","0.2","Overall","BiS",0.287892565062322,0.00985671370390276
"161","NMTF","0.25","Overall","CSR",0.777777777777778,0
"162","NMTF","0.25","Overall","Rel",0.537025953461737,0.0172644724337522
"163","NMTF","0.25","Overall","Rec",0.340332588641053,0.0102846051181226
"164","NMTF","0.25","Overall","F_score",0.416628122058628,0.0128929434137012
"165","NMTF","0.25","Overall","BiS",0.271178542513418,0.0109832489532079
"166","NMTF","0.3","Overall","CSR",0.777777777777778,0
"167","NMTF","0.3","Overall","Rel",0.527959991056904,0.0197613487892463
"168","NMTF","0.3","Overall","Rec",0.333503706061489,0.0119218086708677
"169","NMTF","0.3","Overall","F_score",0.408781732082589,0.0148719952540748
"170","NMTF","0.3","Overall","BiS",0.259992979483193,0.0126745361665277
"171","NMTF","0.35","Overall","CSR",0.777777777777778,0
"172","NMTF","0.35","Overall","Rel",0.455830047091174,0.018829296243806
"173","NMTF","0.35","Overall","Rec",0.28504090489882,0.0113742029708008
"174","NMTF","0.35","Overall","F_score",0.350747460309579,0.0141807684973037
"175","NMTF","0.35","Overall","BiS",0.213877532171382,0.0139528901942938
"176","NMTF","0.4","Overall","CSR",0.778592592592593,0.00573243790925623
"177","NMTF","0.4","Overall","Rel",0.417183209720899,0.0184170743366896
"178","NMTF","0.4","Overall","Rec",0.260121752688466,0.0107592994268225
"179","NMTF","0.4","Overall","F_score",0.320405986056539,0.0135103182798056
"180","NMTF","0.4","Overall","BiS",0.184404552053036,0.0140189748626506
