"","rep","omega","F score (V1)","F score (V2)","F score (V3)","F score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E (V3)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M (V3)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C (V3)","BiS-C","k"
"11","1","0.45","0.326089209023803","0","0","0.108696403007934","0.571759259259259","0","0","0.190586419753086","0.228086419753086","0","0","0.0760288065843621","-0.314367988061046","0","0","-0.104789329353682","0.0631159980439229","0","0","0.021038666014641","-0.434713987709911","0","0","-0.14490466256997","2"
"12","1","0.5","0.285648221156147","0","0","0.0952160737187157","0.962962962962963","0","0","0.320987654320988","0.167696394707889","0","0","0.055898798235963","-0.290288950910316","0","0","-0.096762983636772","0.0526792487957111","0","0","0.0175597495985704","-0.409376007910577","0","0","-0.136458669303526","1"
"13","1","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","1","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","1","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","1","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","1","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","1","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","1","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","1","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","2","none","0.486533247477819","0.440176233685634","0.352644006850785","0.426451162671413","0.458724414854552","0.459365803169171","0.394951559800568","0.437680592608097","0.51793132682948","0.422525627498746","0.318523494419564","0.419660149582597","-0.182101668832402","-0.184168492829678","-0.196063613111742","-0.187444591591274","0.040570519627165","0.0318548291327039","0.0560896100513591","0.0428383196037427","-0.228238183077349","-0.231534764535031","-0.252911846327916","-0.237561597980099","8"
"24","2","0","0.486533247477819","0.440176233685634","0.352644006850785","0.426451162671413","0.458724414854552","0.459365803169171","0.394951559800568","0.437680592608097","0.51793132682948","0.422525627498746","0.318523494419564","0.419660149582597","-0.182101668832402","-0.184168492829678","-0.196063613111742","-0.187444591591274","0.040570519627165","0.0318548291327039","0.0560896100513591","0.0428383196037427","-0.228238183077349","-0.231534764535031","-0.252911846327916","-0.237561597980099","8"
