"","Method","overlap","Choice","Measure","Mean","S.d."
"116","iSSVD","0.25","Overall","CSR",0.428571428571429,0
"117","iSSVD","0.25","Overall","Rel",0.626495499868008,0.0703794408899067
"118","iSSVD","0.25","Overall","Rec",0.143097281461392,0.0118301621601115
"119","iSSVD","0.25","Overall","F_score",0.232928483081029,0.0205465517448149
"120","iSSVD","0.25","Overall","BiS",0.241116768913228,0.054423668206966
"121","iSSVD","0.3","Overall","CSR",0.430535714285715,0.0196428571428571
"122","iSSVD","0.3","Overall","Rel",0.629295697656846,0.0720403614882515
"123","iSSVD","0.3","Overall","Rec",0.147303958522285,0.01818841012631
"124","iSSVD","0.3","Overall","F_score",0.238454980776761,0.02658844462777
"125","iSSVD","0.3","Overall","BiS",0.283038034723619,0.0609483334231737
"126","iSSVD","0.35","Overall","CSR",0.451938492063492,0.0860592727627037
"127","iSSVD","0.35","Overall","Rel",0.651281090803599,0.0799118119925021
"128","iSSVD","0.35","Overall","Rec",0.169194105795156,0.0567706387476819
"129","iSSVD","0.35","Overall","F_score",0.262291767931728,0.0519978577941292
"130","iSSVD","0.35","Overall","BiS",0.317929612924467,0.0633557491876238
"131","iSSVD","0.4","Overall","CSR",0.522289682539683,0.130831006361571
"132","iSSVD","0.4","Overall","Rel",0.670331488948832,0.0712835019778661
"133","iSSVD","0.4","Overall","Rec",0.226125396708782,0.0927111641822119
"134","iSSVD","0.4","Overall","F_score",0.328926430599521,0.0975701320430364
"135","iSSVD","0.4","Overall","BiS",0.341629901077561,0.0629512551011225
"136","NMTF","0","Overall","CSR",0.909851851851852,0.038706196208341
"137","NMTF","0","Overall","Rel",0.80472606842642,0.0340550757189663
"138","NMTF","0","Overall","Rec",0.706405563987157,0.0733202526921173
"139","NMTF","0","Overall","F_score",0.74697598381615,0.0564315277479423
"140","NMTF","0","Overall","BiS",0.403845924341136,0.0177512803589942
"141","NMTF","0.05","Overall","CSR",0.93387037037037,0.0286963653532919
"142","NMTF","0.05","Overall","Rel",0.836754858929852,0.0281557313076249
"143","NMTF","0.05","Overall","Rec",0.764276793873229,0.0552326053509498
"144","NMTF","0.05","Overall","F_score",0.793950469812391,0.0435295269925416
"145","NMTF","0.05","Overall","BiS",0.415240379159183,0.0190598303222284
"146","NMTF","0.1","Overall","CSR",0.947305555555556,0.0352641264497413
"147","NMTF","0.1","Overall","Rel",0.852855872702553,0.0276609433516004
"148","NMTF","0.1","Overall","Rec",0.79741630457892,0.0613551886777158
"149","NMTF","0.1","Overall","F_score",0.819444554638598,0.0460806095854841
"150","NMTF","0.1","Overall","BiS",0.40617980368422,0.0181255189079191
"151","NMTF","0.15","Overall","CSR",0.991537037037037,0.0206016106746372
"152","NMTF","0.15","Overall","Rel",0.866412321923783,0.0254078748881596
"153","NMTF","0.15","Overall","Rec",0.857893650199893,0.0404004232836237
"154","NMTF","0.15","Overall","F_score",0.861501391848224,0.0333736170803581
"155","NMTF","0.15","Overall","BiS",0.381940574085411,0.0178340098344432
"156","NMTF","0.2","Overall","CSR",0.996407407407407,0.0127536953775883
"157","NMTF","0.2","Overall","Rel",0.86444918455633,0.0230879975780789
"158","NMTF","0.2","Overall","Rec",0.861703797468324,0.0284786974436168
"159","NMTF","0.2","Overall","F_score",0.862742734049439,0.0250078800428948
"160","NMTF","0.2","Overall","BiS",0.367461781519233,0.0164464811708794
"161","NMTF","0.25","Overall","CSR",0.992814814814815,0.0175667895125227
"162","NMTF","0.25","Overall","Rel",0.857067210262374,0.0287581700907096
"163","NMTF","0.25","Overall","Rec",0.850805454025809,0.0387400222216484
"164","NMTF","0.25","Overall","F_score",0.853517251959171,0.0337183206347994
"165","NMTF","0.25","Overall","BiS",0.347748376453902,0.0170664257738232
"166","NMTF","0.3","Overall","CSR",0.995888888888889,0.0107291241023204
"167","NMTF","0.3","Overall","Rel",0.860703468797078,0.0262668043022211
"168","NMTF","0.3","Overall","Rec",0.859065762945275,0.0312997749684602
"169","NMTF","0.3","Overall","F_score",0.859758211608139,0.0285899511662937
"170","NMTF","0.3","Overall","BiS",0.334213207638642,0.0155753218897774
"171","NMTF","0.35","Overall","CSR",0.985740740740741,0.0268481427318142
"172","NMTF","0.35","Overall","Rel",0.843289829755116,0.034310903951391
"173","NMTF","0.35","Overall","Rec",0.830154762066699,0.0536532327888728
"174","NMTF","0.35","Overall","F_score",0.835626794704879,0.044697881590442
"175","NMTF","0.35","Overall","BiS",0.312355115659692,0.0191554625106603
"176","NMTF","0.4","Overall","CSR",0.970648148148148,0.0410814368997262
"177","NMTF","0.4","Overall","Rel",0.831845142993157,0.0448009273058215
"178","NMTF","0.4","Overall","Rec",0.804986660516928,0.0746399372491955
"179","NMTF","0.4","Overall","F_score",0.816118799917654,0.061276737489539
"180","NMTF","0.4","Overall","BiS",0.289853295093312,0.0202041247382467
