"","Method","overlap","Choice","Measure","Mean","S.d."
"112","iSSVD","0.2","Overall","Rel",0.194788204002633,0.0752635701106346
"113","iSSVD","0.2","Overall","Rec",0.183659298962487,0.0140528749817498
"114","iSSVD","0.2","Overall","F_score",0.179397898942703,0.0466578907064927
"115","iSSVD","0.2","Overall","BiS",0.026031401764357,0.150189477803267
"116","iSSVD","0.25","Overall","CSR",0.657081807081807,0.0865518650302366
"117","iSSVD","0.25","Overall","Rel",0.240712993420317,0.0466180772950689
"118","iSSVD","0.25","Overall","Rec",0.188286638787818,0.0112279427115011
"119","iSSVD","0.25","Overall","F_score",0.208347381279161,0.0230590062375845
"120","iSSVD","0.25","Overall","BiS",0.0233017949523299,0.0657967997550196
"121","iSSVD","0.3","Overall","CSR",0.668855036973015,0.095013769794669
"122","iSSVD","0.3","Overall","Rel",0.255554616996085,0.0530251346663885
"123","iSSVD","0.3","Overall","Rec",0.193379595349636,0.0101485258805617
"124","iSSVD","0.3","Overall","F_score",0.216860133241171,0.0245315872306023
"125","iSSVD","0.3","Overall","BiS",0.0633265786899892,0.118624405862641
"126","iSSVD","0.35","Overall","CSR",0.370523452826824,0.178660939754688
"127","iSSVD","0.35","Overall","Rel",0.160543422215471,0.124665743669361
"128","iSSVD","0.35","Overall","Rec",0.0733606838103474,0.0552166535254881
"129","iSSVD","0.35","Overall","F_score",0.0980034676010956,0.0728698476960051
"130","iSSVD","0.35","Overall","BiS",0.00951219633087385,0.0640332186473275
"131","iSSVD","0.4","Overall","CSR",0.272605671482076,0.129269551059026
"132","iSSVD","0.4","Overall","Rel",0.108747256666145,0.132705629642004
"133","iSSVD","0.4","Overall","Rec",0.0432449285379111,0.0527687715059264
"134","iSSVD","0.4","Overall","F_score",0.0618783217017287,0.0755056315934893
"135","iSSVD","0.4","Overall","BiS",0.0162861432591046,0.0200211358680498
"136","NMTF","0","Overall","CSR",0.947815230961298,0.0368085987537108
"137","NMTF","0","Overall","Rel",0.847169831612857,0.0251803177625626
"138","NMTF","0","Overall","Rec",0.791564211834027,0.0615302053939653
"139","NMTF","0","Overall","F_score",0.81390103446173,0.0461561858921457
"140","NMTF","0","Overall","BiS",0.400048140040041,0.0143090040239093
"141","NMTF","0.05","Overall","CSR",0.878672492717437,0.0376548972417262
"142","NMTF","0.05","Overall","Rel",0.673689841388642,0.0213479315776819
"143","NMTF","0.05","Overall","Rec",0.560080310629028,0.05189109565761
"144","NMTF","0.05","Overall","F_score",0.604557697262221,0.0368358708602251
"145","NMTF","0.05","Overall","BiS",0.325312879380377,0.0153176767811704
"146","NMTF","0.1","Overall","CSR",0.819870994590096,0.0345816616737319
"147","NMTF","0.1","Overall","Rel",0.632289657713675,0.0271340046060099
"148","NMTF","0.1","Overall","Rec",0.47666599668741,0.0621219329534524
"149","NMTF","0.1","Overall","F_score",0.536234970315824,0.0432453544583684
"150","NMTF","0.1","Overall","BiS",0.296719898038428,0.0176107747934539
"151","NMTF","0.15","Overall","CSR",0.794558884727424,0.0261078499530269
"152","NMTF","0.15","Overall","Rel",0.625049611300649,0.0177874592611147
"153","NMTF","0.15","Overall","Rec",0.438443753999212,0.0537942885148086
"154","NMTF","0.15","Overall","F_score",0.509895347620314,0.0321526289912999
"155","NMTF","0.15","Overall","BiS",0.295976298495658,0.012531643954275
"156","NMTF","0.2","Overall","CSR",0.782667498959634,0.0138530603840088
"157","NMTF","0.2","Overall","Rel",0.568106540205408,0.018852815839916
"158","NMTF","0.2","Overall","Rec",0.36982315573975,0.0294749436917475
"159","NMTF","0.2","Overall","F_score",0.446701898595802,0.0209116033125902
"160","NMTF","0.2","Overall","BiS",0.261912352978871,0.011046810067551
"161","NMTF","0.25","Overall","CSR",0.779858510195589,0.00964604687335737
"162","NMTF","0.25","Overall","Rel",0.543134866901967,0.0227792606476783
"163","NMTF","0.25","Overall","Rec",0.348019674869478,0.0232345203632166
"164","NMTF","0.25","Overall","F_score",0.423317778491832,0.0187134822677291
"165","NMTF","0.25","Overall","BiS",0.246594945255667,0.0154112532298729
"166","NMTF","0.3","Overall","CSR",0.780586766541823,0.0105206180903503
"167","NMTF","0.3","Overall","Rel",0.53616510044167,0.0203759646085674
"168","NMTF","0.3","Overall","Rec",0.340783960532483,0.0165954661820394
"169","NMTF","0.3","Overall","F_score",0.416344005110359,0.0161600071704363
"170","NMTF","0.3","Overall","BiS",0.237968434316165,0.0134281984433584
"171","NMTF","0.35","Overall","CSR",0.778235538909696,0.00431850988150738
"172","NMTF","0.35","Overall","Rel",0.482949311455035,0.0198817692646798
"173","NMTF","0.35","Overall","Rec",0.300906641314948,0.0117869079739282
"174","NMTF","0.35","Overall","F_score",0.370768022402237,0.0147595322675938
"175","NMTF","0.35","Overall","BiS",0.218527587821768,0.0131345939671329
"176","NMTF","0.4","Overall","CSR",0.777777777777778,0
"177","NMTF","0.4","Overall","Rel",0.446952578520807,0.0208290625015852
"178","NMTF","0.4","Overall","Rec",0.277056108710359,0.0123087163596893
"179","NMTF","0.4","Overall","F_score",0.342066429393407,0.0154795768051589
"180","NMTF","0.4","Overall","BiS",0.192523130073329,0.0147409817005508
