"","Method","Noise","Choice","Measure","Mean","S.d."
"135","GFA","8","Overall","BiS",0.0813314882177021,0.0466129265735594
"136","GFA","9","Overall","CSR",0.780774203372307,0.0904254922880049
"137","GFA","9","Overall","Rel",0.00080781797828475,0.00017621799278608
"138","GFA","9","Overall","Rec",0.00126303535073319,0.000322608088870958
"139","GFA","9","Overall","F_score",0.000976789081546731,0.000216570462136712
"140","GFA","9","Overall","BiS",0.03181940358542,0.0313817959512854
"141","GFA","10","Overall","CSR",0.633200270897833,0.0581027736210067
"142","GFA","10","Overall","Rel",0.000825017263195405,0.000162040426726846
"143","GFA","10","Overall","Rec",0.00132170415489348,0.00031384763153701
"144","GFA","10","Overall","F_score",0.00100731538577459,0.000201155568593054
"145","GFA","10","Overall","BiS",0.0089422634150804,0.0202228451506802
"146","GFA","20","Overall","CSR",0.354858422939068,0.000197132616487466
"147","GFA","20","Overall","Rel",0.000409785676742255,4.82688409863117e-05
"148","GFA","20","Overall","Rec",0.000721833179179299,0.000155082332134668
"149","GFA","20","Overall","F_score",0.000516451202923814,7.00561936496065e-05
"150","GFA","20","Overall","BiS",-0.00624550086092574,0.0035563119544293
"151","GFA","30","Overall","CSR",0.268303861788618,0.000111788617886183
"152","GFA","30","Overall","Rel",0.000373962690772052,3.7534441561416e-05
"153","GFA","30","Overall","Rec",0.000703151983113814,0.000190159223036426
"154","GFA","30","Overall","F_score",0.000479999164796871,6.54383979481029e-05
"155","GFA","30","Overall","BiS",-0.00977161092644711,0.0019174877515765
"156","GFA","40","Overall","CSR",0.215686274509804,0
"157","GFA","40","Overall","Rel",0.000360707614646938,3.32053002109757e-05
"158","GFA","40","Overall","Rec",0.000683612119198203,0.000156805954706839
"159","GFA","40","Overall","F_score",0.000464856359475967,5.35545765847005e-05
"160","GFA","40","Overall","BiS",-0.0112082729755273,0.0012604762595651
"161","GFA","50","Overall","CSR",0.180332877959927,5.00910746812328e-05
"162","GFA","50","Overall","Rel",0.000360811145018835,3.1660048077919e-05
"163","GFA","50","Overall","Rec",0.000740123024670767,0.000191192894358653
"164","GFA","50","Overall","F_score",0.000474908428711506,5.40142027178796e-05
"165","GFA","50","Overall","BiS",-0.0124901911741275,0.00102280210548287
"166","GFA","60","Overall","CSR",0.154940643863179,6.32432155591893e-05
"167","GFA","60","Overall","Rel",0.000360391649876175,3.35865515898197e-05
"168","GFA","60","Overall","Rec",0.000771101880303901,0.00019506515771858
"169","GFA","60","Overall","F_score",0.000480852778960498,5.78832270677895e-05
"170","GFA","60","Overall","BiS",-0.0131272127407956,0.00101559288357087
"171","GFA","70","Overall","CSR",0.135839248971194,0.000240117630929451
"172","GFA","70","Overall","Rel",0.000364132373846273,3.20622583797693e-05
"173","GFA","70","Overall","Rec",0.00085816278453542,0.000205215959521618
"174","GFA","70","Overall","F_score",0.000500860026666037,5.30436895142933e-05
"175","GFA","70","Overall","BiS",-0.0139482646848388,0.000969688746568154
"176","GFA","80","Overall","CSR",0.121057180127405,0.000587479569146959
"177","GFA","80","Overall","Rel",0.000367669723044398,2.76612943839001e-05
"178","GFA","80","Overall","Rec",0.000895051032266263,0.000189688280326808
"179","GFA","80","Overall","F_score",0.000512563133231564,4.44079146188576e-05
"180","GFA","80","Overall","BiS",-0.0146996509432992,0.0009876195019596
"181","GFA","90","Overall","CSR",0.109087183718372,0.000419038796270615
"182","GFA","90","Overall","Rel",0.000382156671739695,2.89660346703318e-05
"183","GFA","90","Overall","Rec",0.00104695706247581,0.000220955711465575
"184","GFA","90","Overall","F_score",0.000550841665362973,4.94351542256844e-05
"185","GFA","90","Overall","BiS",-0.0159935859570055,0.00186435198174906
"186","GFA","100","Overall","CSR",0.0994516351213599,0.000556020357127453
"187","GFA","100","Overall","Rel",0.00039349882672393,3.31366636429078e-05
"188","GFA","100","Overall","Rec",0.00110855341003208,0.000199006233096179
"189","GFA","100","Overall","F_score",0.000575009866159262,5.45972795709581e-05
"190","GFA","100","Overall","BiS",-0.017220805183877,0.00185774311485494
"191","iSSVD","1","Overall","CSR",0.919166666666667,0.108527409686211
"192","iSSVD","1","Overall","Rel",0.000481786014765458,6.11878323333056e-05
