month,tmax,tmin,af,rain,sun,season
10,11.0,5.0,1,71.9,89.1,3
11,10.6,5.0,0,142.8,42.7,3
12,11.0,5.6,0,34.4,52.6,0
1,10.3,4.5,2,92.3,38.0,0
2,9.3,1.9,5,23.0,79.1,0
3,8.4,2.8,7,69.7,66.9,1
4,13.3,5.0,5,43.6,133.4,1
5,15.1,6.9,0,62.9,149.8,1
6,21.8,10.4,0,23.2,293.7,2
7,24.1,14.1,0,36.3,217.3,2
8,25.9,15.0,0,13.3,226.0,2
9,19.5,10.6,0,111.2,144.1,3
10,14.4,7.0,0,23.2,111.6,3
11,10.1,3.2,6,58.0,78.8,3
12,7.6,1.5,11,29.1,40.3,0
1,8.8,3.0,8,13.9,68.3,0
2,7.8,2.3,7,21.1,39.7,0
3,9.5,2.0,8,11.3,127.1,1
4,13.7,4.3,1,9.9,182.3,1
5,19.3,8.9,0,19.3,209.2,1
6,25.5,13.7,0,6.3,261.2,2
7,26.6,14.9,0,15.4,263.5,2
8,25.1,13.2,0,16.4,263.7,2
9,19.0,11.2,0,96.6,118.9,3
10,14.9,8.8,0,93.0,61.4,3
11,9.9,3.5,5,81.7,60.1,3
12,5.6,-0.2,11,72.3,57.4,0
1,6.1,0.8,15,63.5,38.2,0
2,9.6,3.4,3,65.3,83.3,0
3,11.2,4.5,4,56.8,105.1,1
4,12.2,4.1,4,32.7,151.1,1
5,16.4,7.2,0,37.3,210.5,1
6,17.4,9.6,0,52.4,134.8,2
7,22.4,12.7,0,10.4,210.4,2
8,20.3,13.0,0,150.3,135.8,2
9,18.0,10.7,0,15.3,117.5,3
10,16.3,9.0,0,48.1,113.8,3
11,10.4,4.6,2,51.3,88.4,3
12,9.2,4.1,2,55.5,37.1,0
1,6.7,0.7,11,68.8,47.4,0
2,6.2,0.7,13,40.9,41.3,0
3,11.3,3.5,4,58.9,108.5,1
4,10.7,3.9,4,45.4,113.8,1
5,17.2,7.9,0,78.5,210.6,1
6,19.7,10.7,0,38.1,175.9,2
7,20.5,12.7,0,65.5,142.0,2
8,20.7,12.1,0,53.6,177.6,2
9,20.1,10.8,0,17.1,166.7,3
10,17.1,8.4,0,1.6,98.4,3
11,12.6,6.2,4,8.2,81.7,3
12,7.8,2.6,11,108.6,35.4,0
1,3.8,-2.6,24,59.9,58.5,0
2,4.5,-0.4,13,44.0,52.9,0
3,9.2,2.0,4,94.9,99.6,1
4,12.7,4.8,2,77.6,106.3,1
5,15.9,7.2,2,87.0,200.6,1
6,19.0,11.1,0,37.6,140.3,2
7,22.5,13.4,0,21.7,182.5,2
8,21.0,12.2,0,33.4,171.3,2
9,19.6,10.3,0,20.8,177.6,3
10,16.4,8.8,0,68.7,124.9,3
11,10.8,3.5,5,48.2,58.1,3
12,9.2,3.9,5,90.7,49.6,0
1,6.0,-0.1,14,29.7,72.4,0
2,9.9,2.9,4,36.8,52.2,0
3,9.0,2.4,4,72.1,83.2,1
4,14.0,5.4,0,21.6,161.2,1
5,17.3,7.4,0,26.1,221.1,1
6,19.8,10.9,0,106.2,188.8,2
7,19.7,11.9,0,59.3,163.7,2
8,21.9,13.3,0,52.3,173.4,2
9,20.1,12.0,0,27.7,146.6,3
10,14.0,5.8,0,96.5,123.3,3
11,9.3,4.5,4,26.4,66.4,3
12,8.9,2.7,8,33.4,63.7,0
1,8.1,2.0,9,32.7,62.0,0
2,7.1,-0.1,16,11.9,71.6,0
3,11.8,6.5,1,90.8,56.8,1
4,12.9,4.9,1,32.4,129.9,1
5,16.1,8.4,0,79.8,112.0,1
6,18.5,10.4,0,39.5,152.1,2
7,22.0,12.8,0,56.7,148.9,2
8,22.8,13.0,0,45.3,217.9,2
9,20.3,11.3,0,94.6,151.1,3
10,12.9,5.8,0,76.5,110.3,3
11,11.5,5.1,1,34.1,54.9,3
12,4.4,-1.5,17,85.3,47.0,0
1,6.9,0.4,14,38.0,57.7,0
2,8.4,2.4,4,31.6,51.3,0
3,11.1,2.5,3,51.5,171.3,1
4,14.3,5.0,2,22.8,180.9,1
5,18.0,7.6,0,71.9,204.8,1
6,21.5,12.8,0,84.6,182.1,2
7,22.7,13.4,0,24.5,164.0,2
8,22.2,12.9,0,39.7,168.9,2
9,20.8,11.1,0,39.6,156.0,3
10,14.1,7.8,0,109.1,69.6,3
11,11.4,6.2,3,72.9,55.5,3
12,8.2,1.9,8,63.6,50.0,0
1,10.0,4.3,3,47.2,51.4,0
2,5.5,-0.5,19,31.0,85.3,0
3,10.8,3.0,5,33.7,93.4,1
4,12.4,3.6,3,101.5,145.4,1
5,15.6,7.5,0,72.9,136.8,1
6,20.8,11.4,0,12.0,188.8,2
7,27.6,16.0,0,50.3,247.8,2
8,24.5,13.8,0,11.4,219.1,2
9,19.3,11.3,0,42.9,113.7,3
10,15.1,7.6,2,41.7,114.0,3
11,11.3,5.5,4,39.5,42.9,3
12,9.2,2.7,10,50.9,58.5,0
1,8.0,1.4,9,73.3,88.1,0
2,7.4,1.3,10,32.9,71.6,0
3,8.9,2.5,2,73.4,51.4,1
4,14.6,3.9,5,5.4,230.5,1
5,14.9,6.8,0,90.9,144.7,1
6,21.3,11.3,0,36.1,237.0,2
7,24.2,12.9,0,19.2,232.5,2
8,24.4,14.2,0,27.8,201.1,2
9,18.6,11.0,0,73.4,98.1,3
10,15.8,8.5,0,82.8,91.2,3
11,12.2,6.4,0,69.8,75.4,3
12,8.7,2.8,8,56.7,49.3,0
1,4.1,-1.8,20,41.3,46.9,0
2,6.3,0.1,13,29.8,78.3,0
3,9.4,1.3,12,34.1,105.2,1
4,14.0,5.3,3,33.3,157.5,1
5,16.4,8.2,0,64.7,163.7,1
6,18.5,9.9,0,88.9,167.2,2
7,22.9,13.2,0,35.2,241.4,2
8,20.3,11.9,0,58.9,187.3,2
9,20.6,11.4,0,11.2,143.4,3
10,16.1,8.8,0,18.4,118.8,3
11,8.1,1.2,11,30.0,88.6,3
12,10.0,5.2,4,80.5,39.0,0
1,7.2,1.0,11,105.6,62.8,0
2,1.7,-2.7,24,14.5,61.9,0
3,10.1,1.8,8,43.5,124.4,1
4,10.9,3.2,3,60.7,135.2,1
5,16.3,7.9,0,52.3,172.3,1
6,21.8,11.4,0,17.2,225.8,2
7,22.6,13.3,0,54.6,180.5,2
8,20.0,11.5,0,66.7,158.3,2
